centrality,community_id,community_mean,community_std,global_mean,global_std,comparison_result
degree,0.0,10.169945794017266,652.1814577848169,10.644812609798946,366.8480501518087,community < global
betweenness,0.0,8.556802872705474e-05,0.0083789786147608,2.7907101809417968e-05,0.0041317695155089,community > global
closeness,0.0,0.4979399851805522,0.0052992714632601,0.4989916346225984,0.0051504874550595,community < global
clustering,0.0,0.3857409023074351,0.4717780158250158,0.7632871594961399,0.3614170174089839,community < global
kshell,0.0,1.8939971893194136,1.87807402280341,4.285233261760687,5.120778817377522,community < global
weighted_degree,0.0,3462.4912303278934,109601.07464677896,4527.133196217955,60496.20311183381,community < global
degree,1.0,12.753792298716451,28.752550682769325,10.644812609798946,366.8480501518087,community > global
betweenness,1.0,1.696148293259483e-05,9.241142319112156e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,1.0,0.4994544113534828,0.0041149453460173,0.4989916346225984,0.0051504874550595,community > global
clustering,1.0,0.8701740024625036,0.2411617083861803,0.7632871594961399,0.3614170174089839,community > global
kshell,1.0,5.424737456242707,4.07743327471198,4.285233261760687,5.120778817377522,community > global
weighted_degree,1.0,14291.500246044552,54114.38022188223,4527.133196217955,60496.20311183381,community > global
degree,2.0,8.098675150766892,245.1629725918721,10.644812609798946,366.8480501518087,community < global
betweenness,2.0,6.176792836755296e-06,9.246386129799207e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,2.0,0.4994342441751475,0.0048826120693228,0.4989916346225984,0.0051504874550595,community > global
clustering,2.0,0.9137117690053924,0.1614168178814602,0.7632871594961399,0.3614170174089839,community > global
kshell,2.0,3.900280165250012,1.6119182314825191,4.285233261760687,5.120778817377522,community < global
weighted_degree,2.0,1296.3301340206378,20259.802902059797,4527.133196217955,60496.20311183381,community < global
degree,3.0,18.09251101321586,19.55512485945012,10.644812609798946,366.8480501518087,community > global
betweenness,3.0,1.929480035299839e-05,3.953120275903398e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,3.0,0.4994839726664156,0.0040074572932205,0.4989916346225984,0.0051504874550595,community > global
clustering,3.0,0.7839580326197686,0.2294891043331424,0.7632871594961399,0.3614170174089839,community > global
kshell,3.0,7.506607929515418,4.460614311489623,4.285233261760687,5.120778817377522,community > global
weighted_degree,3.0,17467.09691629956,32814.60831513185,4527.133196217955,60496.20311183381,community > global
degree,4.0,12.845814977973568,17.607520959947646,10.644812609798946,366.8480501518087,community > global
betweenness,4.0,2.127428036451379e-05,8.740152028779799e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,4.0,0.4996381424923776,0.0032795725700112,0.4989916346225984,0.0051504874550595,community > global
clustering,4.0,0.8333556271406898,0.2312639249179499,0.7632871594961399,0.3614170174089839,community > global
kshell,4.0,5.9118942731277535,4.064871029239134,4.285233261760687,5.120778817377522,community > global
weighted_degree,4.0,14219.124695951488,37891.320470821534,4527.133196217955,60496.20311183381,community > global
degree,5.0,15.494176372712149,23.68122426513265,10.644812609798946,366.8480501518087,community > global
betweenness,5.0,1.777227427018497e-05,6.378950676893133e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,5.0,0.4998418807632729,0.0020201216702828,0.4989916346225984,0.0051504874550595,community > global
clustering,5.0,0.8043943924353045,0.2515873262295967,0.7632871594961399,0.3614170174089839,community > global
kshell,5.0,6.718801996672213,5.970130866438018,4.285233261760687,5.120778817377522,community > global
weighted_degree,5.0,13894.722792018236,45163.16406291669,4527.133196217955,60496.20311183381,community > global
degree,6.0,12.225596529284164,41.9416775649461,10.644812609798946,366.8480501518087,community > global
betweenness,6.0,1.7294331936620152e-05,0.0001499895049752,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,6.0,0.4966029155566503,0.0102895458275802,0.4989916346225984,0.0051504874550595,community < global
clustering,6.0,0.8537991344307098,0.2481398546662686,0.7632871594961399,0.3614170174089839,community > global
kshell,6.0,4.934924078091107,3.4735069038919435,4.285233261760687,5.120778817377522,community > global
weighted_degree,6.0,5660.351505717854,26652.695412704423,4527.133196217955,60496.20311183381,community > global
degree,7.0,11.743016759776536,30.074269375804977,10.644812609798946,366.8480501518087,community > global
betweenness,7.0,9.268727281783066e-06,4.031242191335505e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,7.0,0.4979930991699438,0.0080642757115087,0.4989916346225984,0.0051504874550595,community < global
clustering,7.0,0.8526953603935455,0.2145188732224169,0.7632871594961399,0.3614170174089839,community > global
kshell,7.0,5.111731843575419,2.1276211370845743,4.285233261760687,5.120778817377522,community > global
weighted_degree,7.0,4187.256797414806,21605.32587965035,4527.133196217955,60496.20311183381,community < global
degree,8.0,9.936395759717314,30.98616104239223,10.644812609798946,366.8480501518087,community < global
betweenness,8.0,1.5504685702275592e-05,9.393251149220056e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,8.0,0.4987028143644165,0.0064584690632262,0.4989916346225984,0.0051504874550595,community < global
clustering,8.0,0.8610770667262823,0.2473162534956806,0.7632871594961399,0.3614170174089839,community > global
kshell,8.0,4.0765606595995285,1.7066820526056836,4.285233261760687,5.120778817377522,community < global
weighted_degree,8.0,4705.982340629143,26164.943001052216,4527.133196217955,60496.20311183381,community > global
degree,9.0,9.937037037037037,20.66478152919071,10.644812609798946,366.8480501518087,community < global
betweenness,9.0,1.0748054069397047e-05,3.38820762340599e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,9.0,0.4996687705049613,0.0030123002072215,0.4989916346225984,0.0051504874550595,community > global
clustering,9.0,0.8251913131477397,0.2425395214278999,0.7632871594961399,0.3614170174089839,community > global
kshell,9.0,4.603703703703704,1.891672512168736,4.285233261760687,5.120778817377522,community > global
weighted_degree,9.0,4464.322304033866,18751.926918947265,4527.133196217955,60496.20311183381,community < global
degree,10.0,13.32183908045977,27.203152285220067,10.644812609798946,366.8480501518087,community > global
betweenness,10.0,1.064870355567306e-05,5.665936431064653e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,10.0,0.499954243707062,0.0001357154036969,0.4989916346225984,0.0051504874550595,community > global
clustering,10.0,0.8137031471514565,0.2695891020922684,0.7632871594961399,0.3614170174089839,community > global
kshell,10.0,4.528735632183908,1.8416314838534429,4.285233261760687,5.120778817377522,community > global
weighted_degree,10.0,7931.411758334213,31922.13761165571,4527.133196217955,60496.20311183381,community > global
degree,11.0,6.833333333333333,1.940790217067952,10.644812609798946,366.8480501518087,community < global
betweenness,11.0,8.912093539429343e-06,2.070195128959778e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,11.0,0.4999231214441357,8.81644716517743e-06,0.4989916346225984,0.0051504874550595,community > global
clustering,11.0,0.8222222222222221,0.15006171569897,0.7632871594961399,0.3614170174089839,community > global
kshell,11.0,4.5,0.8366600265340756,4.285233261760687,5.120778817377522,community > global
weighted_degree,11.0,3834.0,2014.8801453188228,4527.133196217955,60496.20311183381,community < global
degree,12.0,9.699208443271768,20.025757868499227,10.644812609798946,366.8480501518087,community < global
betweenness,12.0,1.3283283279552723e-05,5.291281581791754e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,12.0,0.499376439163473,0.0043676698199026,0.4989916346225984,0.0051504874550595,community > global
clustering,12.0,0.8243241330002731,0.2456421346105283,0.7632871594961399,0.3614170174089839,community > global
kshell,12.0,4.506596306068602,1.7141903153177545,4.285233261760687,5.120778817377522,community > global
weighted_degree,12.0,3886.302753293875,17581.102840008025,4527.133196217955,60496.20311183381,community < global
degree,13.0,9.397515527950311,33.687401113603585,10.644812609798946,366.8480501518087,community < global
betweenness,13.0,1.674891648924849e-05,0.0001215632667276,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,13.0,0.4992834237998172,0.0047499354050481,0.4989916346225984,0.0051504874550595,community > global
clustering,13.0,0.9092820023708804,0.2272950947376652,0.7632871594961399,0.3614170174089839,community > global
kshell,13.0,3.968944099378882,1.6256627888666189,4.285233261760687,5.120778817377522,community < global
weighted_degree,13.0,2959.1798678670248,13154.107845106197,4527.133196217955,60496.20311183381,community < global
degree,14.0,11.44047619047619,39.33159158922152,10.644812609798946,366.8480501518087,community > global
betweenness,14.0,1.5022291365533674e-05,0.0001076838490935,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,14.0,0.4987382878284495,0.0063662818370698,0.4989916346225984,0.0051504874550595,community < global
clustering,14.0,0.8536826601424626,0.2470932460085244,0.7632871594961399,0.3614170174089839,community > global
kshell,14.0,4.775297619047619,2.8538858755867604,4.285233261760687,5.120778817377522,community > global
weighted_degree,14.0,4708.2927382589305,23649.44991419823,4527.133196217955,60496.20311183381,community > global
degree,15.0,23.91958041958042,37.87296261446518,10.644812609798946,366.8480501518087,community > global
betweenness,15.0,1.5749032763053736e-05,7.33220446056897e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,15.0,0.4997370183749323,0.0029336402234052,0.4989916346225984,0.0051504874550595,community > global
clustering,15.0,0.8300122363193287,0.2373336636404132,0.7632871594961399,0.3614170174089839,community > global
kshell,15.0,11.13986013986014,13.865681101724858,4.285233261760687,5.120778817377522,community > global
weighted_degree,15.0,23800.47062911519,69050.59088097228,4527.133196217955,60496.20311183381,community > global
degree,16.0,8.4,3.911521443121589,10.644812609798946,366.8480501518087,community < global
betweenness,16.0,8.234785691196375e-06,1.1281400493663809e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,16.0,0.4999245190872868,1.0880794424222971e-05,0.4989916346225984,0.0051504874550595,community > global
clustering,16.0,0.8742857142857143,0.1901664147690712,0.7632871594961399,0.3614170174089839,community > global
kshell,16.0,4.6,0.8944271909999159,4.285233261760687,5.120778817377522,community > global
weighted_degree,16.0,6525.2,4760.948823501467,4527.133196217955,60496.20311183381,community > global
degree,17.0,10.734177215189874,17.269081545239008,10.644812609798946,366.8480501518087,community > global
betweenness,17.0,1.8227522734798976e-05,5.864525428841511e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,17.0,0.4996102009134355,0.0033949993185647,0.4989916346225984,0.0051504874550595,community > global
clustering,17.0,0.8326008086680097,0.2543958176238099,0.7632871594961399,0.3614170174089839,community > global
kshell,17.0,4.85126582278481,2.43519791162781,4.285233261760687,5.120778817377522,community > global
weighted_degree,17.0,4760.934604938582,18675.315605390628,4527.133196217955,60496.20311183381,community > global
degree,18.0,9.146464646464649,16.917349476976412,10.644812609798946,366.8480501518087,community < global
betweenness,18.0,1.26163732226559e-05,4.283670422970417e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,18.0,0.4985051315066365,0.0069049357657026,0.4989916346225984,0.0051504874550595,community < global
clustering,18.0,0.8493184178849437,0.2369279740568325,0.7632871594961399,0.3614170174089839,community > global
kshell,18.0,4.136363636363637,1.5500420525131888,4.285233261760687,5.120778817377522,community < global
weighted_degree,18.0,7530.848610203455,38023.52856899291,4527.133196217955,60496.20311183381,community > global
degree,19.0,5.222222222222222,7.16560618159312,10.644812609798946,366.8480501518087,community < global
betweenness,19.0,1.4163873637292656e-05,7.175220503198548e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,19.0,0.4999186870922347,3.5677737908484375e-05,0.4989916346225984,0.0051504874550595,community > global
clustering,19.0,0.9555570629644704,0.1700012913700653,0.7632871594961399,0.3614170174089839,community > global
kshell,19.0,3.2777777777777777,0.6269623282193991,4.285233261760687,5.120778817377522,community < global
weighted_degree,19.0,3012.5925925925926,7916.494558517578,4527.133196217955,60496.20311183381,community < global
degree,20.0,17.966565349544073,27.669468525291325,10.644812609798946,366.8480501518087,community > global
betweenness,20.0,1.5113039323649731e-05,5.854941655384487e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,20.0,0.4989846831854835,0.0057007748177627,0.4989916346225984,0.0051504874550595,community < global
clustering,20.0,0.8122325858227173,0.2297498376557544,0.7632871594961399,0.3614170174089839,community > global
kshell,20.0,7.082066869300912,4.722411600526071,4.285233261760687,5.120778817377522,community > global
weighted_degree,20.0,11541.753471626187,28429.941198818928,4527.133196217955,60496.20311183381,community > global
degree,21.0,10.098360655737704,20.07379647675277,10.644812609798946,366.8480501518087,community < global
betweenness,21.0,1.180977794267326e-05,5.635501592535917e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,21.0,0.4989810609099043,0.0057191908023979,0.4989916346225984,0.0051504874550595,community < global
clustering,21.0,0.8784978386844697,0.2146955154404156,0.7632871594961399,0.3614170174089839,community > global
kshell,21.0,4.524590163934426,1.3001254044803712,4.285233261760687,5.120778817377522,community > global
weighted_degree,21.0,3719.389629160497,18090.85412689008,4527.133196217955,60496.20311183381,community < global
degree,22.0,9.217391304347826,12.43635206900055,10.644812609798946,366.8480501518087,community < global
betweenness,22.0,1.0073145531866551e-05,4.895931729830418e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,22.0,0.4995768022630045,0.0032876617515988,0.4989916346225984,0.0051504874550595,community > global
clustering,22.0,0.8263899678147809,0.2718058741273672,0.7632871594961399,0.3614170174089839,community > global
kshell,22.0,4.260869565217392,1.772533901003293,4.285233261760687,5.120778817377522,community < global
weighted_degree,22.0,4716.415712629439,16279.738518987806,4527.133196217955,60496.20311183381,community > global
degree,23.0,9.327868852459016,19.69898584040909,10.644812609798946,366.8480501518087,community < global
betweenness,23.0,1.0834280849800417e-05,4.634673988737768e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,23.0,0.4998189716285914,0.002005912496881,0.4989916346225984,0.0051504874550595,community > global
clustering,23.0,0.8815363490074707,0.2304288650138788,0.7632871594961399,0.3614170174089839,community > global
kshell,23.0,4.19344262295082,1.7822100462165522,4.285233261760687,5.120778817377522,community < global
weighted_degree,23.0,4701.521770227537,15726.93610961278,4527.133196217955,60496.20311183381,community > global
degree,24.0,12.366197183098592,29.659501374620653,10.644812609798946,366.8480501518087,community > global
betweenness,24.0,2.1802097883805132e-05,0.0001682245364845,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,24.0,0.4994043215330053,0.0041490095100234,0.4989916346225984,0.0051504874550595,community > global
clustering,24.0,0.871867645959879,0.2118482468466722,0.7632871594961399,0.3614170174089839,community > global
kshell,24.0,4.985915492957746,1.779015185590252,4.285233261760687,5.120778817377522,community > global
weighted_degree,24.0,5388.465480249111,18052.583453913638,4527.133196217955,60496.20311183381,community > global
degree,25.0,16.5,9.883140724902956,10.644812609798946,366.8480501518087,community > global
betweenness,25.0,2.2257881503230823e-05,5.022551543400027e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,25.0,0.4999573997870288,3.375690126491585e-05,0.4989916346225984,0.0051504874550595,community > global
clustering,25.0,0.7992937550908565,0.1849417934389345,0.7632871594961399,0.3614170174089839,community > global
kshell,25.0,7.5,2.093407017561676,4.285233261760687,5.120778817377522,community > global
weighted_degree,25.0,6014.611111111111,6419.027259446431,4527.133196217955,60496.20311183381,community > global
degree,26.0,7.0,2.8284271247461903,10.644812609798946,366.8480501518087,community < global
betweenness,26.0,1.5439958951087983e-05,2.183539935111249e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,26.0,0.4999191284240368,1.2705712147630962e-05,0.4989916346225984,0.0051504874550595,community > global
clustering,26.0,0.8333333333333333,0.2357022603955158,0.7632871594961399,0.3614170174089839,community > global
kshell,26.0,4.0,1.4142135623730951,4.285233261760687,5.120778817377522,community < global
weighted_degree,26.0,2142.5,635.6889962867062,4527.133196217955,60496.20311183381,community < global
degree,27.0,55.8171875,68.23683339536714,10.644812609798946,366.8480501518087,community > global
betweenness,27.0,1.7343876978388594e-05,8.267744851939744e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,27.0,0.4996846104902825,0.0040967719860638,0.4989916346225984,0.0051504874550595,community > global
clustering,27.0,0.4495282439794207,0.2262640599441643,0.7632871594961399,0.3614170174089839,community < global
kshell,27.0,28.059375,14.862949478969416,4.285233261760687,5.120778817377522,community > global
weighted_degree,27.0,58986.52564403492,107778.44512579846,4527.133196217955,60496.20311183381,community > global
degree,28.0,60.11764705882353,38.73041704253406,10.644812609798946,366.8480501518087,community > global
betweenness,28.0,2.845714203816882e-05,4.7555748795275474e-05,2.7907101809417968e-05,0.0041317695155089,equal
closeness,28.0,0.4982782574571446,0.0078890884581591,0.4989916346225984,0.0051504874550595,community < global
clustering,28.0,0.6208626923842095,0.1676308548134086,0.7632871594961399,0.3614170174089839,community < global
kshell,28.0,28.916666666666668,13.110666385451497,4.285233261760687,5.120778817377522,community > global
weighted_degree,28.0,29802.401960784315,59757.3091938868,4527.133196217955,60496.20311183381,community > global
degree,29.0,18.236051502145923,24.477119608772693,10.644812609798946,366.8480501518087,community > global
betweenness,29.0,3.016596670084313e-05,0.0001080239626926,2.7907101809417968e-05,0.0041317695155089,community > global
closeness,29.0,0.499358597996044,0.0045557044717717,0.4989916346225984,0.0051504874550595,community > global
clustering,29.0,0.8270120895864371,0.2209159912975664,0.7632871594961399,0.3614170174089839,community > global
kshell,29.0,7.1587982832618025,4.891549919873833,4.285233261760687,5.120778817377522,community > global
weighted_degree,29.0,8422.849785407725,21225.786684148123,4527.133196217955,60496.20311183381,community > global
degree,30.0,9.0,3.4641016151377544,10.644812609798946,366.8480501518087,community < global
betweenness,30.0,6.8618883474461565e-06,5.941574839461026e-06,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,30.0,0.4999360996684923,1.925533493727193e-05,0.4989916346225984,0.0051504874550595,community > global
clustering,30.0,0.6494949494949495,0.2595173406085281,0.7632871594961399,0.3614170174089839,community < global
kshell,30.0,4.0,0.0,4.285233261760687,5.120778817377522,community < global
weighted_degree,30.0,3779.3333333333335,1970.495961257808,4527.133196217955,60496.20311183381,community < global
degree,31.0,5.083333333333333,4.231018216873469,10.644812609798946,366.8480501518087,community < global
betweenness,31.0,1.7153148191922156e-05,4.793972736483122e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,31.0,0.4999191291776299,2.234050791824332e-05,0.4989916346225984,0.0051504874550595,community > global
clustering,31.0,0.8958333333333335,0.2278716854953792,0.7632871594961399,0.3614170174089839,community > global
kshell,31.0,3.25,0.4522670168666454,4.285233261760687,5.120778817377522,community < global
weighted_degree,31.0,1634.1666666666667,2905.073675590012,4527.133196217955,60496.20311183381,community < global
degree,32.0,22.147286821705425,20.987757136302186,10.644812609798946,366.8480501518087,community > global
betweenness,32.0,2.4515896407732068e-05,5.779074762281641e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,32.0,0.499137461114345,0.0053024580826339,0.4989916346225984,0.0051504874550595,community > global
clustering,32.0,0.7737925241142564,0.2130248080425331,0.7632871594961399,0.3614170174089839,community > global
kshell,32.0,9.124031007751938,3.659336842111013,4.285233261760687,5.120778817377522,community > global
weighted_degree,32.0,14618.86031007752,19275.76237531763,4527.133196217955,60496.20311183381,community > global
degree,33.0,8.15776397515528,16.728552912794417,10.644812609798946,366.8480501518087,community < global
betweenness,33.0,1.1875749127678295e-05,0.0001049777694759,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,33.0,0.4999288981170548,7.613507249365763e-05,0.4989916346225984,0.0051504874550595,community > global
clustering,33.0,0.9503457012970938,0.1612591802961239,0.7632871594961399,0.3614170174089839,community > global
kshell,33.0,4.612422360248448,5.0979309743659655,4.285233261760687,5.120778817377522,community > global
weighted_degree,33.0,4495.224844720497,22750.99613887982,4527.133196217955,60496.20311183381,community < global
degree,34.0,15.343023255813954,20.241056306357063,10.644812609798946,366.8480501518087,community > global
betweenness,34.0,1.554454805885384e-05,3.997344804400199e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,34.0,0.4997478401513227,0.0026630084445918,0.4989916346225984,0.0051504874550595,community > global
clustering,34.0,0.8456384668355857,0.2226468311004454,0.7632871594961399,0.3614170174089839,community > global
kshell,34.0,6.226744186046512,3.696178662633388,4.285233261760687,5.120778817377522,community > global
weighted_degree,34.0,17839.529069767443,41957.728810283326,4527.133196217955,60496.20311183381,community > global
degree,35.0,20.22222222222222,9.65618092546735,10.644812609798946,366.8480501518087,community > global
betweenness,35.0,2.0090770210540364e-06,6.161074963676645e-06,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,35.0,0.4999650540404611,3.1112316603330287e-05,0.4989916346225984,0.0051504874550595,community > global
clustering,35.0,0.7797100995843537,0.1638963567510045,0.7632871594961399,0.3614170174089839,community > global
kshell,35.0,8.333333333333334,1.6803361008336115,4.285233261760687,5.120778817377522,community > global
weighted_degree,35.0,2433.777777777778,1329.2158925053857,4527.133196217955,60496.20311183381,community < global
